W% BaO,W% CaO,W% MgO,W% PbO,W% SrO,W% ZnO,W% GeO2,W% SiO2,W% TeO2,W% TiO2,W% ZrO2,W% WO3,W% K2O,W% Li2O,W% Na2O,W% Al2O3,W% B2O3,W% Bi2O3,W% P2O5,TG
0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.901294708252,0.0,0.0,15.1151561737061,0.0,0.0,0.0,27.7566585540771,0.0,0.0,0.0,21.2268867492676,744.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1666622161865,0.0,0.0,23.6699504852295,0.0,0.0,0.0,25.9899501800537,0.0,0.0,0.0,20.173433303833,823.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0029182434082,0.0,0.0,18.0072631835938,0.0,0.0,0.0,25.9974670410156,0.0,0.0,0.0,16.9923534393311,740.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.3250007629395,0.0,0.0,20.513069152832,0.0,0.0,0.0,25.077220916748,0.0,0.0,0.0,16.0847091674805,740.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.6226387023926,0.0,0.0,13.7513866424561,0.0,0.0,0.0,25.9916305541992,0.0,0.0,0.0,14.6343421936035,705.0
0.0,6.23758459091187,0.0,0.0,0.0,0.0,0.0,50.1245918273926,0.0,0.0,0.0,0.0,20.9551620483398,0.0,0.0,22.6826591491699,0.0,0.0,0.0,771.0
0.0,6.32829570770264,0.0,0.0,0.0,0.0,0.0,50.8535385131836,0.0,0.0,0.0,0.0,17.0079250335693,0.0,2.7977123260498,23.0125255584717,0.0,0.0,0.0,712.0
0.0,6.42168521881104,0.0,0.0,0.0,0.0,0.0,51.60400390625,0.0,0.0,0.0,0.0,12.9441890716553,0.0,5.67799854278564,23.3521308898926,0.0,0.0,0.0,673.0
0.0,6.51787090301514,0.0,0.0,0.0,0.0,0.0,52.3769454956055,0.0,0.0,0.0,0.0,8.758713722229,0.0,8.64456844329834,23.7019062042236,0.0,0.0,0.0,654.0
0.0,6.61698198318481,0.0,0.0,0.0,0.0,0.0,53.1733932495117,0.0,0.0,0.0,0.0,4.44594955444336,0.0,11.7013568878174,24.0623188018799,0.0,0.0,0.0,652.0
0.0,6.71915435791016,0.0,0.0,0.0,0.0,0.0,53.9944381713867,0.0,0.0,0.0,0.0,0.0,0.0,14.8525447845459,24.4338626861572,0.0,0.0,0.0,650.0
0.0,9.23359394073486,0.0,0.0,0.0,0.0,0.0,74.2002182006836,0.0,0.0,0.0,0.0,0.0,0.0,5.10266494750977,0.0,11.4635248184204,0.0,0.0,560.0
0.0,9.1616678237915,0.0,0.0,0.0,0.0,0.0,68.7140731811523,0.0,0.0,0.0,0.0,0.0,0.0,5.06291675567627,0.0,17.0613422393799,0.0,0.0,520.0
